question,answer,furi,name
a,あ,,Hiragana 1
i,い
u,う
e,え
o,お
ka,か
ki,き
ku,く
ke,け
ko,こ
sa,さ
shi,し
su,す
se,せ
so,そ
ta,た,,Hiragana 2
chi,ち
tsu,つ
te,て
to,と
na,な
ni,に
nu,ぬ
ne,ね
no,の
ha,は
hi,ひ
fu,ふ
he,へ
ho,ほ
ma,ま,,Hiragana 3
mi,み
mu,む
me,め
mo,も
ra,ら
ri,り
ru,る
re,れ
ro,ろ
ya,や
yu,ゆ
yo,よ
wa,わ
wo,を
n,ん
a,ア,,Katakana 1
i,イ
u,ウ
e,エ
o,オ
ka,カ
ki,キ
ku,ク
ke,ケ
ko,コ
sa,サ
shi,シ
su,ス
se,セ
so,ソ
ta,タ,,Katakana 2
chi,チ
tsu,ツ
te,テ
to,ト
na,ナ
ni,ニ
nu,ヌ
ne,ネ
no,ノ
ha,ハ
hi,ヒ
fu,フ
he,ヘ
ho,ホ
ma,マ,,Katakana 3
mi,ミ
mu,ム
me,メ
mo,モ
ra,ラ
ri,リ
ru,ル
re,レ
ro,ロ
ya,ヤ
yu,ユ
yo,ヨ
wa,ワ
wo,ヲ
n,ン
