question,answer,furi,name
[ | |:| |:| |:| |:| | |,E,,E String
[X| |:| |:| |:| |:| | |,F
[ |X|:| |:| |:| |:| | |,F#
[ | |X| |:| |:| |:| | |,G
[ | |:|X|:| |:| |:| | |,G#
[ | |:| |X| |:| |:| | |,A
[ | |:| |:|X|:| |:| | |,A#
[ | |:| |:| |X| |:| | |,B
[ | |:| |:| |:|X|:| | |,C
[ | |:| |:| |:| |X| | |,C#
[ | |:| |:| |:| |:|X| |,D
[ | |:| |:| |:| |:| |X|,D#
[ | |:| |:| |:| |:| | |,A,,A String
[X| |:| |:| |:| |:| | |,A#
[ |X|:| |:| |:| |:| | |,B
[ | |X| |:| |:| |:| | |,C
[ | |:|X|:| |:| |:| | |,C#
[ | |:| |X| |:| |:| | |,D
[ | |:| |:|X|:| |:| | |,D#
[ | |:| |:| |X| |:| | |,E
[ | |:| |:| |:|X|:| | |,F
[ | |:| |:| |:| |X| | |,F#
[ | |:| |:| |:| |:|X| |,G
[ | |:| |:| |:| |:| |X|,G#
[ | |:| |:| |:| |:| | |,D,,D String
[X| |:| |:| |:| |:| | |,D#
[ |X|:| |:| |:| |:| | |,E
[ | |X| |:| |:| |:| | |,F
[ | |:|X|:| |:| |:| | |,F#
[ | |:| |X| |:| |:| | |,G
[ | |:| |:|X|:| |:| | |,G#
[ | |:| |:| |X| |:| | |,A
[ | |:| |:| |:|X|:| | |,A#
[ | |:| |:| |:| |X| | |,B
[ | |:| |:| |:| |:|X| |,C
[ | |:| |:| |:| |:| |X|,C#
[ | |:| |:| |:| |:| | |,G,,G String
[X| |:| |:| |:| |:| | |,G#
[ |X|:| |:| |:| |:| | |,A
[ | |X| |:| |:| |:| | |,A#
[ | |:|X|:| |:| |:| | |,B
[ | |:| |X| |:| |:| | |,C
[ | |:| |:|X|:| |:| | |,C#
[ | |:| |:| |X| |:| | |,D
[ | |:| |:| |:|X|:| | |,D#
[ | |:| |:| |:| |X| | |,E
[ | |:| |:| |:| |:|X| |,F
[ | |:| |:| |:| |:| |X|,F#
[ | |:| |:| |:| |:| | |,B,,B String
[X| |:| |:| |:| |:| | |,C
[ |X|:| |:| |:| |:| | |,C#
[ | |X| |:| |:| |:| | |,D
[ | |:|X|:| |:| |:| | |,D#
[ | |:| |X| |:| |:| | |,E
[ | |:| |:|X|:| |:| | |,F
[ | |:| |:| |X| |:| | |,F#
[ | |:| |:| |:|X|:| | |,G
[ | |:| |:| |:| |X| | |,G#
[ | |:| |:| |:| |:|X| |,A
[ | |:| |:| |:| |:| |X|,A#
